Institute Name,Course Name
"MIT Art, Design and Technology University",B.Tech in Mechanical Engineering
,- B.Tech in Civil Engineering
,- M.A./MSC IN FILM MAKING
,- B.A/B.SC IN FILM MAKING
,- B Tech-Computer Science & Engineering
,- B Tech-Electronics & Communication Engineering
,- B Tech-Information Technology
,- M Tech-Civil Engineering
,- M Tech-Computer Science & Engineering
,- M Tech-Information Technology
,- BAJMC- (Bachelor of Arts in Journalism and Mass Communication)
,- MAJMC (Master of Arts in Journalism and Mass Communication)
,
,
SANSKRITI UNIVERSITY,B.Tech in Computer Science & Engineering
,- B.Tech in Civil Engineering
,- B.Tech in Electrical Engineering
,- B.Tech in Electronics & Communication Engineering
,- B.Tech in Mechanical Engineering (Automobile/Production)
,"- Integrated B.Tech+M.Tech(CS&E, CE, EE, ECE, ME)"
,"- Integrated B.Tech.+MBA(CS&E, CE, EE, ECE, ME)"
,- B.Tech (Lateral Entry)/Migration in Computer Science & Engineering
,- B.Tech (Lateral Entry)/Migration in Civil Engineering
,- B.Tech (Lateral Entry)/Migration in Electrical Engineering
,- B.Tech (Lateral Entry)/Migration in Mechanical Engineering (Automobile/Production)
,- M.Tech in Computer Science & Engineering
,- M.Tech in Civil Engineering (Structural Engineering)
,- M.Tech in Electrical Engineering (Power System Engineering)
,- M.Tech in Electronics & Communication Engineering (VLSI)
,- M.Tech in Mechanical Engineering (Automobile/Production)
,- BCA in Computer Applications
,- Ph.D in Computer Science & Engineering
,- Ph.D in Electronics & Communication Engineering
,- Ph.D in Mechanical Engineering
,- B.Sc. in Biotech
,- B.Sc. in General (PCM)
,- B.Sc.in General (ZBC)
,- M.Sc. in Biotech
,- M.Sc.in Industrial Chemistry
,- Ph.D in Chemistry
,- Ph.D in Mathematics
,- Ph.D in Zoology
,- BBA
,- B.Com (Pass)
,- B.Com (Hons.)
,- M.Com
,- MBA in Human Resource
,- MBA in Finance
,- MBA in International Business
,- MBA in Marketing Management
,- MBA in Health Care & Hospitality
,- MBA (Part Time) in Human Resource
,- MBA (Part Time) in Finance
,- MBA (Part Time) in International Business
,- MBA (Part Time) in Marketing Management
,- MBA (Part Time) in Health Care & Hospitality
,- Integrated BBA+MBA
,- Ph.D in Finance
,- Ph.D in Marketing
,- Ph.D in Human Resources
,- Post Graduate Diploma in Hotel Management
,- B.Sc. in Hotel Management
,- M.Sc. in Hotel Management
,- Diploma in Engineering in Computer Science & Engineering
,- Diploma in Engineering in Civil Engineering
,- Diploma in Engineering in Electrical Engineering
,- Diploma in Engineering in Electronics & Communication Engineering
,- Diploma in Engineering in Mechanical Engineering (Automobile)
,- Diploma In Engineering in Mechanical Engineering (Production)
,- Diploma In Computer Science & Engineering(After 10+2)
,- Diploma In Civil Engineering (After 10+2)
,- Diploma In Electrical Engineering(After 10+2)
,- Diploma In Electronics & Comunication Engineering(After 10+2)
,- Diploma In Mechanical Engineering (Automobile)(After 10+2)
,- Diploma In Mechanical Engineering (Production)(After 10+2)
,- B.Sc. in Agriculture
,- M.Sc. in Agriculture
,- B.A. B.Ed. & B.Sc. B.Ed.
,- B.Ed.
,- B.El. Ed.
,- BTC
,- M.Ed.
,- Ph.D in Education
,- B.A. (Hons.) in Economics
,- M.A. in Economics
,- Diploma in Fashion Designing
,- Diploma In Fashion Designing(After 10+2)
,- B.A. in Fashion Designing
,- B.Sc. in Medical Lab Technology
,- BPT in Physiotherapy
,- MPT in Orthopedics
,- MPT in Sports
,- MPT in Neurology
,- MPT in Paediatrics
,"- B.Ed. in Special Education (LD, HI & MR)"
,"- D.Ed. in Special Education (CP, ASD & MR)"
,- BFA in Applied Art
,- BFA in Painting
,- BPA
,- BAMS in Ayurvedic Medicine & Surgery
,- BUMS in Unani Medicine & Surgery
,- BHMS in Homeopathic Medicine & Surgery
,- Diploma in Homeopathy Pharmacy
,- B.Sc. (Nursing)
,- Diploma in Livestock Extension Services
,- Diploma in Veterinary Pharmacy
,- B.A. (Vocational) in Animation & Multimedia
,- B.Tech in Auronautical Engg
,- B.Tech in Civil Engg.
,- B.Tech in Computer Science
,- B.Tech in Electrical Engg
,- B.Tech in Electronics & Comm. Eng
,- B.Tech in Mechanical Engg
,- B.Tech in Software Engg.
,- B.Tech in Auronautical Engg (Lateral Entry)
,- B.Tech in Civil Engg (Lateral Entry)
,- B.Tech in Computer Science (Lateral Entry)
,- B.Tech in Electrical Engg (Lateral Entry)
,- B.Tech in Electronics & Comm. Eng (Lateral Entry)
,- B.Tech in Mechanical Engg (Lateral Entry)
,- B.Tech in Software Engg (Lateral Entry)
,- MBA in HR
,- MBA in Finance
,- MBA in Marketing
,- MBA in IB
,- MBA in Healthcare & Hospitality
,"- Integrated MBA in HR,"
,- Integrated MBA in Finance
,- Integrated MBA in Marketing
,- Integrated MBA in IB
,- Integrated MBA in Healthcare & Hospitality
,- B.Sc in Hotel Management
,- Post Graduate Diploma in Hotel Management
,- Diploma in Civil Engg
,- Diploma in Computer Science
,- Diploma in Electrical Engg
,- Diploma in Electronics & Comm. Eng
,- Diploma in Fashion Designing
,- Diploma in Mechanical(Automobile) Engg
,- Diploma in Civil Engg (Lateral Entry)
,- Diploma in Computer Science (Lateral Entry)
,- Diploma in Electrical Engg (Lateral Entry)
,- Diploma in Electronics & Comm. Eng (Lateral Entry)
,- Diploma in Fashion Designing (Lateral Entry)
,- Diploma in Mechanical(Automobile) Engg (Lateral Entry)
,- M.Tech in Civil Engg
,- M.Tech in Computer Science
,- M.Tech in Computer Science
,- M.Tech in Software Engg
,- M.Tech in Electrical Engg
,- M.Tech in Electronics & Comm. Engg
,- M.Tech in Mechanical Engg
,- BCA
,- Integrated B.Tech
,- Integrated M.Tech
,- B.Sc in Agriculture
,- B.Sc in Bio-Tech
,- B.Sc in Industrial Microbiology
,- B.Sc in Industrial Chemistry
,- B.Sc in PCM
,- B.Sc in CBZ
,- M.Sc in Bio-Tech
,- M.Sc in Industrial Microbiology
,- M.Sc in Industrial Chemistry
,- M.Sc in PCM
,- M.Sc in CBZ
,- B.Sc in Hospitality & Tourism Management
,- B.Com(Pass)
,- B.Com(Hons.)
,- BBA
,- M. Com.
,- PGDM in HR
,- PGDM in Finance
,- PGDM in Marketing
,- PGDM in IB
,- PGDM in Healthcare & Hospitality
,- MBA ( Part time) in HR
,- MBA ( Part time) in Finance
,- MBA ( Part time) in Marketing
,- MBA ( Part time) in IB
,- Integrated BBA in HR
,- Integrated BBA in HR
,- Integrated BBA in Finance
,- Integrated BBA in Marketing
,- Integrated BBA in IB
,- Integrated BBA in Healthcare & Hospitality
,- B.A
,- B.Ed
,- B.Ed
,- B.Sc
,- BTC
,- B.El.Ed
,- M.Ed
,- Diploma in Fashion Designing
,- B.A. in Fashion Designing
,- B.Ed in LD
,- B.Ed in HI
,- B.Ed in MR
,- B.A. (Pass)
,- B.A. (Hons.)
,- MA
,- Diploma in Homeopathy Pharmacy
,- BAMS
,- BUMS
,- B.Lib.in I.Sc
,- M.Lib. in I.Sc
,- BPT
,- B.Sc.B.Ed
,- BA (Journsalism & Mass Communication)
,- MA (Journsalism & Mass Communication)
,- Diploma (Media & Mass Comunication)
,"- Diploma (Camera, Film making, Editing, Production- Pre&Post )"
,- D. Ed.
,
Manav Rachna International University(Engineering),B.Arch - Bachelor of Architecture
,- B.Tech - Aeronautical Engineering
,- B.Tech - Automobile Engineering
,- B.Tech - Biotechnology
,- B.Tech - Civil Engineering
,- B.Tech - Computer Science & Engineering
,- B.Tech - Industrial Engineering & Management
