Institution_Name,CourseName,Course_Period,SubjectName
SANSKRITI UNIVERSITY,B.Tech in Civil Engineering,4 Years,Mathematics-I
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Modern Physics/General Chemistry
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Basic Electrical Engineering/Basic Electronics Engineering
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Computer System & Programming in C/Engineering Mechanics
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Environmental Science/Sociology and Psychology
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Computer System & Programming Lab/ Engineering Mechanics Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Electrical Engineering Lab/ Electronics Engineering Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Computer Aided  EngineeringGraphics Lab/ Product Realization through Manufacturing
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Modern Physics Lab/ General Chemistry Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Life Skill (Communication Skill)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Mathematics-II
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Modern Physics/General Chemistry
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Basic Electrical Engineering/Basic Electronics Engineering
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Computer System & Programming in C/Engineering Mechanics
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Environmental Science/Sociology and Psychology
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Computer System & Programming Lab/ Engineering Mechanics Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Electrical Engineering Lab/ Electronics Engineering Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Computer Aided Engineering Graphics Lab/ Product Realization through  Manufacturing
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Modern Physics Lab/ General Chemistry Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Life Skill (Human Values & Ethics)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Mathematics III
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Fluid Mechanics & Machinery
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Mechanics of solids
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Engineering Geology
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Surveying
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Building Materials and Technology
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Fluid Mechanics & Machinery  Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Surveying Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Building Materials and Technology Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Life Skill (Technical Communication)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Satistical and Numerical Methods
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Soil Mechanics
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Transportation Engineering
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Water Resources Engineering
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Principles and  Design of Water Supply and Treatment Systems
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Hydraulics and Hydraulics Machines
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Transportation Engineering Lab-
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Hydraulics  and Hydraulic Machines  Laboratory
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Soil Mechanics Laboratory
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Satistical and Numerical Methods Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Life Skill (Soft Skill)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Concrete Technology
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Structural Analysis
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Transportation Engineering-
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Principles and Design of Waste Water Treatment & Disposal Systems
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Open Elective -I
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Programme Elective- I
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Concrete Testing Laboratory
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Transportation Engineering Lab-
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Structural Analysis Laboratory
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Life Skill (Aptitude Building)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Technical proficiency in Civil Engg-I
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Reinforced Concrete Structures
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Advanced Structural Analysis
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Natural Disaster Mitigation and Management
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Programme Elective- II
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Programme Elective- III
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Open Elective -II
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Estimation costing & Valuation
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Survey Camp
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Campus-to-Corporate
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Technical proficiency in Civil Engg-II
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Construction Planning and Management
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Design of Steel Structures
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Quantity Surveying and Estimating
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Design & Drawing(RCC  & Steel & Environment)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,CAD Lab
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Technical proficiency in Civil Engg-III
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Industrial Internship
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Foreign Language(German)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Foreign Language(French)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Foreign Language(Japanese)
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Fine & Performing Art
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Extra cocuricular activities
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Cloud Computing
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Robotics
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Renewable Energy Resources
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Internet of Things
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Socio-economic studies & EIA
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Ground Improvement Techniques
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Pollution Control and Monitoring
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Applications of Matrix Methods in Structural analysis
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Traffic Engineering
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Open Channel Hydraulics
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Architecture and Town Planning
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Design with STADD pro
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Economics and Project Finance for Civil Engineers
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Highway Pavement Design
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Earthquake Engineering
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Structures on Expansive Soils
SANSKRITI UNIVERSITY, B.Tech in Civil Engineering,4 Years,Ground water Engineering
