State Name,Univesity Name ,College/Stand Alone Institution
Andhra Pradesh,"A.P. University of Law, Vishakhapatnam",NA
Tamil Nadu,"Academy of Maritime Education and Training, Chennai",NA
Tamil Nadu,ACADEMY OF SCIENTIFIC and INNOVATIVE RESEARCH,NA
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Harsha's Womens Degree College, Cumbum"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.K.R.B.R. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Tatiparthi Venkata Reddy Memorial College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","St Mary's B.Ed College, Podili"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.S. Arts and Science College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.V.S.M. GOVT. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Venkateswara College of Education, Darsi"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Viveka Arts and Science Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",A.M Reddy College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Dr. Jayapradamba Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri C.V. Raman College of Computer Science
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.V.B.S Degree College, Komarole"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Gowtham College of Education, Darsi"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Krishnaveni Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Magunta Subba Rami Reddy Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Y.A. Govt. College for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",D.R.N.S.C.V.S. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Hindu College of Management, Guntur"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",N.B.T and N V C College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S M Y College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",SIMS College of Pharmacy
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",G.C and Y P N Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vidya Kendran Degree College, Sattenapalli"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Indira Priyadarsni Law College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Priyadarsini Institute of Pharmaceutical Science
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Ali College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Bhashyam College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vasavi MBA and MCA College, Kandulapuram"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Erigineni Tirupati Naidu and Lakshmamma Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",V.V. and M. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.V.K.P. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Sri Vivekananda Degree College, Podili"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",M.A.M College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St. Joseph's College of Education for Women
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Rahul Subramanyam Memorial Instt of Management Studies, Chirala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.B.V.S.R College of Education, Cheemakurthi"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Saraswathi College of Arts and Science, Dachepalli"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","S.G.K Govt. Degree College, Vinukonda"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Omega College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Abhyudaya Mahila Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",C.S.R. Sarma College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Chakradhar Degree College, Macherla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.G.H.R. and M.C.M.R.College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Amrutha College of Education
