Full_Name,First_Name,Last_Name,DOB,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2
MIT College of Engineering,,,,2030273400,2030273677,mitcoe@mitpune.com,
Lovely Professional University,,,,1824404404,18001024431,info@lpu.co.in,admissions@lpu.co.in
"Banasthali Vidyapith, Banasthali",,,,1438228383,1438228787,saditya@banasthali.ac.in,adityashastri@yahoo.com
Jindal School of Art and Architecture,,,,1304091800,1304091801,ÿinfo@jsaa.edu.in,
Vellore Institute of Technology,,,,4439931555,4439931003,admin.chennai@vit.ac.inÿ,admissions.chennai@vit.ac.in
Indian Institute of Technology Madras,,,,4422578100,4422578101,registrar@iitm.ac.in,
Visvesvaraya National Institute of Technology Nagpur,,,,7122222828,7122231636,ÿinfo@vnitaa.com,
Institute of Chemical Technology,,,,2233611111,2233612222,ar.admin@staff.ictmumbai.edu.in,ar.fin@staff.ictmumbai.edu.in
Sinhgad College of Engineering,,,,2024354705,2024100234,registrar.scoe@sinhgad.edu,principal.scoe@sinhgad
Savitribai Phule Pune University,,,,2025601296,2025691162,intcent@unipune.ac.in,puvc@unipune.ac.in
"Amrutvahini College of Pharmacy, Sangamner",,,,,,,
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",,,,,,,
"Athare Patil Memorial Foundation's  Surya School of Architecture, Ahmednagar",,,,,,,
"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Instituions, Kashti (Integrated Campus)",,,,,,,
Mula Education Society's College of Pharmacy.Sonai,,,,,,,
"Padmashree Dr. Vithalrao Vikhe Patil Foundation's College of Pharmacy, Ahmednagar",,,,,,,
"Padmashri Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",,,,,,,
"Pravara Rural College of Architecture, Loni",,,,,,,
"Pravara Rural Engineering College, Loni",,,,,,,
"Pravara Rural Education Society's Pravara Rural College of Pharmacy,Pravararanagar",,,,,,,
"S.G.R. Education Foundation, College of Engineering and Management, Ahmednagar",,,,,,,
"Sanjivani Rural Education Society's College of Engineering, Kopargaon",,,,,,,
"Sanjivani Rural Education Society's Sanjivani College of Pharmaceutical & Research, Kopargaon",,,,,,,
"Shri. Vivekanand Nursing Home Trust, College of Pharmacy, Rahuri Factory, Ahmednagar",,,,,,,
